;;
55.     ;Здание управления Уссурийской железной дороги;Приморский край, г. Владивосток, ул. Алеутская, 6
56.     ;Жилой дом управления железной дороги;Приморский край, г. Владивосток, ул. Алеутская, 10
57.     ;Жилой дом управления железной дороги;Приморский край, г. Владивосток, ул. Алеутская, 8
58.     ;Здание Русско-Азиатского банка;Приморский край, г. Владивосток, ул. Алеутская, 12
59.     ;Дом, в котором в 1903-1905 гг. жила известная революционерка Л.А. Волкенштейн;Приморский край, г. Владивосток, ул. Алеутская, 13
60.     ;Дом Тагунова;Приморский край, г. Владивосток, ул. Алеутская, 14
61.     ;Особняк Бриннеров;Приморский край, г. Владивосток, ул. Алеутская, 15, стр. Б
62.     ;Здание Купеческого собрания;Приморский край, г. Владивосток, ул. Алеутская, 16
63.     ;Ансамбль многоэтажных жилых домов - памятник советской архитектуры 30-х годов;Приморский край, г. Владивосток, ул. Алеутская, д. 17, 19
;АНСАМБЛЬ;
64.     ;"Здание бывшего театра ""Золотой Рог"", в котором в 1923 году перед трудящимися Владивостока выступал М.И. Калинин";Приморский край, г. Владивосток, ул. Светланская, 13
65.     ;Доходный дом;Приморский край, г. Владивосток, ул. Алеутская, 26, стр. 1
66.     ;Доходный дом;Приморский край, г. Владивосток, ул. Алеутская, 26
67.     ;Доходный дом;Приморский край, г. Владивосток, ул. Алеутская, 26
68.     ;Доходный дом;Приморский край, г. Владивосток, ул. Алеутская, 31
69.     ;Здание «Главсевморпути» - центра арктических операций в 30-х годах, штаба по спасению челюскинцев;Приморский край, г. Владивосток, ул. Алеутская, 38 (ул. Фонтанная, 22)
70.     ;Доходный дом;Приморский край, г. Владивосток, ул. Алеутская, 39, строение 1
71.     ;"Гостиница  ""Ницца""";Приморский край, г. Владивосток, ул. Алеутская, 44
72.     ;Дом исследователя края, педагога и общественного деятеля В.П. Маргаритова;Приморский край, г. Владивосток, ул. Алеутская, 43
73.     ;Доходный дом;Приморский край, г. Владивосток, ул. Алеутская, 53 
74.     ;Владивостокская городская больница  кардиологический корпус;Приморский край, г. Владивосток, ул. Алеутская, 57, корп. 1
